source,target,weight,direction,sourceAltId,targetAltId,id
ACACB,ADH1A,0.1105,undirected,NA,NA,ACACB-ADH1A
ACACB,AQP1,0.1025,undirected,NA,NA,ACACB-AQP1
ACACB,AQP7,0.1175,undirected,NA,NA,ACACB-AQP7
ACACB,C6,0.1009,undirected,NA,NA,ACACB-C6
ACACB,CA4,0.1149,undirected,NA,NA,ACACB-CA4
ACACB,CAV1,0.1452,undirected,NA,NA,ACACB-CAV1
ACACB,CD36,0.1027,undirected,NA,NA,ACACB-CD36
ACACB,CIDEA,0.1158,undirected,NA,NA,ACACB-CIDEA
ACACB,CLU,0.1006,undirected,NA,NA,ACACB-CLU
ACACB,EBF1,0.114,undirected,NA,NA,ACACB-EBF1
ACACB,FABP4,0.1117,undirected,NA,NA,ACACB-FABP4
ACACB,FHL1,0.139,undirected,NA,NA,ACACB-FHL1
ACACB,GPD1,0.1286,undirected,NA,NA,ACACB-GPD1
ACACB,GPX3,0.1138,undirected,NA,NA,ACACB-GPX3
ACACB,LEP,0.1066,undirected,NA,NA,ACACB-LEP
ACACB,LIPE,0.1317,undirected,NA,NA,ACACB-LIPE
ACACB,LPL,0.1066,undirected,NA,NA,ACACB-LPL
ACACB,PLIN1,0.1328,undirected,NA,NA,ACACB-PLIN1
ACACB,RBP4,0.1258,undirected,NA,NA,ACACB-RBP4
ACACB,CLDN5,0.1213,undirected,NA,NA,ACACB-CLDN5
ACACB,SDPR,0.1074,undirected,NA,NA,ACACB-SDPR
ACACB,LDB2,0.1151,undirected,NA,NA,ACACB-LDB2
ACACB,GLYAT,0.1145,undirected,NA,NA,ACACB-GLYAT
ACACB,ABCA8,0.1068,undirected,NA,NA,ACACB-ABCA8
ACACB,ALDH1L1,0.1005,undirected,NA,NA,ACACB-ALDH1L1
ACACB,HSPB7,0.1009,undirected,NA,NA,ACACB-HSPB7
ACACB,G0S2,0.1084,undirected,NA,NA,ACACB-G0S2
ACACB,ACSM5,0.1009,undirected,NA,NA,ACACB-ACSM5
ACACB,MRAP,0.13,undirected,NA,NA,ACACB-MRAP
ACACB,SLC7A10,0.1376,undirected,NA,NA,ACACB-SLC7A10
ACACB,SEMA3G,0.1032,undirected,NA,NA,ACACB-SEMA3G
ACACB,GPAM,0.1226,undirected,NA,NA,ACACB-GPAM
ACACB,CIDEC,0.1197,undirected,NA,NA,ACACB-CIDEC
ACACB,TNMD,0.1306,undirected,NA,NA,ACACB-TNMD
ACACB,LINC00341,0.1152,undirected,NA,NA,ACACB-LINC00341
ACACB,SVEP1,0.1029,undirected,NA,NA,ACACB-SVEP1
ACACB,DGAT2,0.1012,undirected,NA,NA,ACACB-DGAT2
ACACB,LGALS12,0.1143,undirected,NA,NA,ACACB-LGALS12
ACACB,CHRDL1,0.103,undirected,NA,NA,ACACB-CHRDL1
ACACB,HSPB6,0.1443,undirected,NA,NA,ACACB-HSPB6
ACACB,CIDECP,0.1376,undirected,NA,NA,ACACB-CIDECP
ACACB,LVRN,0.1216,undirected,NA,NA,ACACB-LVRN
ACACB,HEPACAM,0.1226,undirected,NA,NA,ACACB-HEPACAM
ACACB,TUSC5,0.1246,undirected,NA,NA,ACACB-TUSC5
ACACB,AQP7P1,0.1314,undirected,NA,NA,ACACB-AQP7P1
ACACB,C14orf180,0.1276,undirected,NA,NA,ACACB-C14orf180
ACAT2,BUB1,0.1055,undirected,NA,NA,ACAT2-BUB1
ACAT2,CCNA2,0.1171,undirected,NA,NA,ACAT2-CCNA2
ACAT2,CDC20,0.105,undirected,NA,NA,ACAT2-CDC20
ACAT2,CENPA,0.1097,undirected,NA,NA,ACAT2-CENPA
ACAT2,CENPE,0.1053,undirected,NA,NA,ACAT2-CENPE
ACAT2,KIFC1,0.1093,undirected,NA,NA,ACAT2-KIFC1
ACAT2,CDC45,0.1012,undirected,NA,NA,ACAT2-CDC45
ACAT2,CCNB2,0.1213,undirected,NA,NA,ACAT2-CCNB2
ACAT2,AURKB,0.1065,undirected,NA,NA,ACAT2-AURKB
ACAT2,TRIP13,0.1039,undirected,NA,NA,ACAT2-TRIP13
ACAT2,KIF23,0.1005,undirected,NA,NA,ACAT2-KIF23
ACAT2,DLGAP5,0.1103,undirected,NA,NA,ACAT2-DLGAP5
ACAT2,MELK,0.1011,undirected,NA,NA,ACAT2-MELK
ACAT2,KIF20A,0.1044,undirected,NA,NA,ACAT2-KIF20A
ACAT2,UBE2C,0.1107,undirected,NA,NA,ACAT2-UBE2C
ACAT2,TPX2,0.1094,undirected,NA,NA,ACAT2-TPX2
ACAT2,KIF4A,0.1029,undirected,NA,NA,ACAT2-KIF4A
ACAT2,NUSAP1,0.105,undirected,NA,NA,ACAT2-NUSAP1
ACAT2,CEP55,0.1172,undirected,NA,NA,ACAT2-CEP55
ACAT2,HJURP,0.1027,undirected,NA,NA,ACAT2-HJURP
ACAT2,NCAPG,0.1134,undirected,NA,NA,ACAT2-NCAPG
ACAT2,CDCA5,0.117,undirected,NA,NA,ACAT2-CDCA5
ACAT2,CKAP2L,0.1148,undirected,NA,NA,ACAT2-CKAP2L
ACO1,ACVRL1,0.1008,undirected,NA,NA,ACO1-ACVRL1
ACO1,CAV1,0.1396,undirected,NA,NA,ACO1-CAV1
ACO1,EBF1,0.1082,undirected,NA,NA,ACO1-EBF1
ACO1,FHL1,0.136,undirected,NA,NA,ACO1-FHL1
ACO1,GPX3,0.1022,undirected,NA,NA,ACO1-GPX3
ACO1,PLIN1,0.1015,undirected,NA,NA,ACO1-PLIN1
ACO1,CLDN5,0.1024,undirected,NA,NA,ACO1-CLDN5
ACO1,LDB2,0.1045,undirected,NA,NA,ACO1-LDB2
ACO1,LINC00341,0.1065,undirected,NA,NA,ACO1-LINC00341
ACO1,SVEP1,0.102,undirected,NA,NA,ACO1-SVEP1
ACO1,HSPB6,0.1223,undirected,NA,NA,ACO1-HSPB6
ACTA2,COL5A1,0.1015,undirected,NA,NA,ACTA2-COL5A1
ACTA2,COL6A1,0.1087,undirected,NA,NA,ACTA2-COL6A1
