"";"from";"to";"value"
"321";"321";"1";1
"486";"486";"1";1
"1062";"24";"2";1
"1116";"78";"2";1
"1720";"682";"2";1
"2522";"446";"3";1
"3309";"195";"4";1
"3943";"829";"4";1
"4410";"258";"5";1
"4581";"429";"5";1
"5217";"27";"6";1
"5253";"63";"6";1
"5373";"183";"6";1
"5634";"444";"6";1
"6132";"942";"6";1
"6442";"214";"7";1
"6512";"284";"7";1
"7356";"90";"8";1
"7398";"132";"8";1
"7611";"345";"8";1
"7692";"426";"8";1
"7825";"559";"8";1
"9822";"480";"10";1
"9830";"488";"10";1
"10140";"798";"10";1
"11562";"144";"12";1
"11700";"282";"12";1
"11817";"399";"12";1
"12049";"631";"12";1
"12289";"871";"12";1
"12385";"967";"12";1
"12978";"522";"13";1
"13052";"596";"13";1
"13132";"676";"13";1
"13136";"680";"13";1
"13392";"936";"13";1
"13770";"276";"14";1
"13854";"360";"14";1
"14164";"670";"14";1
"14433";"939";"14";1
"14935";"403";"15";1
"15379";"847";"15";1
"15708";"138";"16";1
"16038";"468";"16";1
"16362";"792";"16";1
"16774";"166";"17";1
"16994";"386";"17";1
"17024";"416";"17";1
"17176";"568";"17";1
"17322";"714";"17";1
"17716";"70";"18";1
"17912";"266";"18";1
"18724";"40";"19";1
"18843";"159";"19";1
"18923";"239";"19";1
"18949";"265";"19";1
"19285";"601";"19";1
"19638";"954";"19";1
"20043";"321";"20";1
"20173";"451";"20";1
"21647";"887";"21";1
"23273";"437";"23";1
"23502";"666";"23";1
"23504";"668";"23";1
"23876";"2";"24";1
"23952";"78";"24";1
"25507";"595";"25";1
"25822";"910";"25";1
"26006";"56";"26";1
"26077";"127";"26";1
"26477";"527";"26";1
"26791";"841";"26";1
"26846";"896";"26";1
"26927";"977";"26";1
"27601";"613";"27";1
"27727";"739";"27";1
"27760";"772";"27";1
"27918";"930";"27";1
"27997";"1009";"27";1
"28227";"201";"28";1
"28434";"408";"28";1
"28444";"418";"28";1
"28598";"572";"28";1
"28820";"794";"28";1
"29432";"368";"29";1
"29675";"611";"29";1
"30091";"1027";"29";1
"30277";"175";"30";1
"30343";"241";"30";1
"30439";"337";"30";1
"30631";"529";"30";1
"30971";"869";"30";1
"30979";"877";"30";1
"31026";"924";"30";1
"31037";"935";"30";1
"31517";"377";"31";1
"32044";"904";"31";1
"32672";"494";"32";1
"33036";"858";"32";1
"33837";"621";"33";1
"34335";"81";"34";1
"34536";"282";"34";1
"34710";"456";"34";1
"34831";"577";"34";1
"35785";"493";"35";1
"35805";"513";"35";1
"35827";"535";"35";1
"35846";"554";"35";1
"36143";"851";"35";1
"36291";"999";"35";1
"36766";"436";"36";1
"36970";"640";"36";1
"37136";"806";"36";1
"37577";"209";"37";1
"37661";"293";"37";1
"38005";"637";"37";1
"38138";"770";"37";1
"38160";"792";"37";1
"38205";"837";"37";1
"38260";"892";"37";1
"38319";"951";"37";1
"38583";"177";"38";1
"38714";"308";"38";1
"38967";"561";"38";1
"39014";"608";"38";1
"39122";"716";"38";1
"39149";"743";"38";1
"39648";"204";"39";1
"40075";"631";"39";1
"40197";"753";"39";1
"40244";"800";"39";1
"40361";"917";"39";1
"40411";"967";"39";1
"40457";"1013";"39";1
"40501";"19";"40";1
"40717";"235";"40";1
"40807";"325";"40";1
"40998";"516";"40";1
"41136";"654";"40";1
"41203";"721";"40";1
"41251";"769";"40";1
"41436";"954";"40";1
"41734";"214";"41";1
"41944";"424";"41";1
"41969";"449";"41";1
"42273";"753";"41";1
"43212";"654";"42";1
"43418";"860";"42";1
"44724";"90";"44";1
"45059";"425";"44";1
"45877";"205";"45";1
"45971";"299";"45";1
"46199";"527";"45";1
"46769";"59";"46";1
"46787";"77";"46";1
"47183";"473";"46";1
"47291";"581";"46";1
"47301";"591";"46";1
"47406";"696";"46";1
"48115";"367";"47";1
"48359";"611";"47";1
"49063";"277";"48";1
"49304";"518";"48";1
"49420";"634";"48";1
"49491";"705";"48";1
"50101";"277";"49";1
"50110";"286";"49";1
"50936";"74";"50";1
"51107";"245";"50";1
"51418";"556";"50";1
"51625";"763";"50";1
"52397";"497";"51";1
"52480";"580";"51";1
"52549";"649";"51";1
"53265";"327";"52";1
"53284";"346";"52";1
"53750";"812";"52";1
"53957";"1019";"52";1
"54423";"447";"53";1
"54892";"916";"53";1
"55446";"432";"54";1
"55697";"683";"54";1
"55840";"826";"54";1
"56052";"1038";"54";1
"56089";"37";"55";1
"56582";"530";"55";1
"56657";"605";"55";1
"56833";"781";"55";1
"56889";"837";"55";1
"57559";"469";"56";1
"57941";"851";"56";1
"58258";"130";"57";1
"58280";"152";"57";1
"58453";"325";"57";1
"58935";"807";"57";1
"59197";"31";"58";1
"59623";"457";"58";1
"59640";"474";"58";1
"59662";"496";"58";1
"59801";"635";"58";1
"60067";"901";"58";1
"60115";"949";"58";1
"60250";"46";"59";1
"60911";"707";"59";1
"62057";"815";"60";1
"62176";"934";"60";1
"62413";"133";"61";1
"62417";"137";"61";1
"62504";"224";"61";1
"62705";"425";"61";1
"63200";"920";"61";1
"63208";"928";"61";1
"63564";"246";"62";1
"63753";"435";"62";1
"64159";"841";"62";1
"65552";"158";"64";1
"65998";"604";"64";1
"66156";"762";"64";1
"66224";"830";"64";1
"66338";"944";"64";1
"66970";"538";"65";1
"67269";"837";"65";1
"67453";"1021";"65";1
"67599";"129";"66";1
"67680";"210";"66";1
"68229";"759";"66";1
"68379";"909";"66";1
"68668";"160";"67";1
"68733";"225";"67";1
"69340";"832";"67";1
"69810";"264";"68";1
"70812";"228";"69";1
"71044";"460";"69";1
"71230";"646";"69";1
"71349";"765";"69";1
"71640";"18";"70";1
"71854";"232";"70";1
"72907";"247";"71";1
"72945";"285";"71";1
"73042";"382";"71";1
"73648";"988";"71";1
"73767";"69";"72";1
"74344";"646";"72";1
"75468";"732";"73";1
"75496";"760";"73";1
"75824";"50";"74";1
"76132";"358";"74";1
"76547";"773";"74";1
"76872";"60";"75";1
"77152";"340";"75";1
"77346";"534";"75";1
"77370";"558";"75";1
"77686";"874";"75";1
"77708";"896";"75";1
"77958";"108";"76";1
"78643";"793";"76";1
"78934";"46";"77";1
"78947";"59";"77";1
"79014";"126";"77";1
"79726";"838";"77";1
"79928";"2";"78";1
"79950";"24";"78";1
"81472";"508";"79";1
"81575";"611";"79";1
"81754";"790";"79";1
"81991";"1027";"79";1
"82149";"147";"80";1
"82186";"184";"80";1
"82263";"261";"80";1
"82270";"268";"80";1
"82641";"639";"80";1
"83074";"34";"81";1
"83143";"103";"81";1
"83496";"456";"81";1
"83700";"660";"81";1
"83717";"677";"81";1
"84270";"192";"82";1
"84295";"217";"82";1
"84340";"262";"82";1
"84366";"288";"82";1
"84410";"332";"82";1
"84460";"382";"82";1
"84563";"485";"82";1
"84852";"774";"82";1
"84855";"777";"82";1
"85757";"641";"83";1
"85992";"876";"83";1
"86016";"900";"83";1
"86065";"949";"83";1
"86092";"976";"83";1
"86693";"539";"84";1
"87023";"869";"84";1
"87033";"879";"84";1
"87556";"364";"85";1
"87583";"391";"85";1
"87587";"395";"85";1
"87777";"585";"85";1
"89379";"111";"87";1
"89462";"194";"87";1
"89653";"385";"87";1
"90318";"12";"88";1
"90431";"125";"88";1
"90588";"282";"88";1
"90705";"399";"88";1
"90779";"473";"88";1
"90887";"581";"88";1
"90897";"591";"88";1
"91475";"131";"89";1
"92390";"8";"90";1
"92426";"44";"90";1
"92727";"345";"90";1
"92752";"370";"90";1
"92810";"428";"90";1
"92941";"559";"90";1
"93109";"727";"90";1
"94524";"66";"92";1
"94601";"143";"92";1
"94721";"263";"92";1
"94784";"326";"92";1
"94850";"392";"92";1
"95045";"587";"92";1
"95215";"757";"92";1
"95225";"767";"92";1
"95241";"783";"92";1
"95367";"909";"92";1
"95814";"318";"93";1
"95982";"486";"93";1
"96629";"95";"94";1
"96967";"433";"94";1
"97057";"523";"94";1
"97114";"580";"94";1
"97223";"689";"94";1
"97276";"742";"94";1
"97362";"828";"94";1
"97386";"852";"94";1
"98746";"136";"96";1
"98817";"207";"96";1
"99389";"779";"96";1
"99651";"3";"97";1
"99886";"238";"97";1
"100071";"423";"97";1
"100074";"426";"97";1
"100510";"862";"97";1
"100710";"24";"98";1
"101086";"400";"98";1
"101341";"655";"98";1
"101450";"764";"98";1
"102871";"109";"100";1
"102912";"150";"100";1
"102978";"216";"100";1
"103302";"540";"100";1
"103723";"961";"100";1
"103728";"966";"100";1
"104148";"348";"101";1
"104310";"510";"101";1
"104409";"609";"101";1
"104650";"850";"101";1
"104733";"933";"101";1
"104813";"1013";"101";1
"104831";"1031";"101";1
"104991";"153";"102";1
"105102";"264";"102";1
